Player,Year,Kicks,Marks,Hand Balls,Disp,Goals,Behinds,Hit Outs,Tackles,Rebounds,Inside 50,Clearances,Clangers,Frees For,Frees Against,Uncontested Possessions,Contested Possessions,Contested Marks,Marks Inside 50,One Percenters,Bounces,Kicks G,Marks G,Hand Balls G,Disp G,Goals G,Behinds G,Hit Outs G,Tackles G,Rebounds G,Inside 50 G,Clearances G,Clangers G,Frees For G,Frees Against G,Uncontested Possessions G,Contested Possessions G,Contested Marks G,Marks Inside 50 G,One Percenters G,Bounces G,Brownlow
Aaron Vandenberg,2016,8,3,9,17,2,0,0,1,0,6,1,4,0,0,7,11,2,1,0,0,0.29166666666666663,0.30000000000000004,0.4375,0.46428571428571425,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.75,0.14285714285714285,0.5,0.0,0.0,0.4666666666666667,0.4705882352941177,0.5,0.2,0.0,0.0,0
Bernie Vince,2016,17,3,4,21,1,0,0,3,5,1,2,4,5,2,8,11,2,0,2,1,0.6666666666666666,0.30000000000000004,0.125,0.6071428571428572,0.3333333333333333,0.0,0.0,0.5,0.5,0.125,0.2857142857142857,0.5,1.0,0.3333333333333333,0.5333333333333333,0.4705882352941177,0.5,0.0,0.2222222222222222,0.25,0
Jack Viney,2016,14,5,18,32,0,0,0,6,1,4,4,5,4,2,15,19,1,0,0,2,0.5416666666666666,0.5,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.5,0.5714285714285714,0.625,0.8,0.3333333333333333,1.0,0.9411764705882353,0.25,0.0,0.0,0.5,3
Jack Watts,2016,14,10,4,18,1,1,0,1,2,3,0,5,0,1,6,12,2,3,0,0,0.5416666666666666,1.0,0.125,0.49999999999999994,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.2,0.375,0.0,0.625,0.0,0.16666666666666666,0.4,0.5294117647058822,0.5,0.6000000000000001,0.0,0.0,0
Matt Buntine,2016,6,3,4,10,0,0,0,1,2,1,0,1,1,0,4,6,1,0,5,0,0.20833333333333334,0.30000000000000004,0.125,0.21428571428571425,0.0,0.0,0.0,0.16666666666666666,0.2,0.125,0.0,0.125,0.2,0.0,0.26666666666666666,0.1764705882352941,0.25,0.0,0.5555555555555556,0.0,0
Aidan Corr,2016,4,4,4,8,0,0,0,2,1,3,1,1,0,1,5,4,2,0,8,0,0.125,0.4,0.125,0.14285714285714285,0.0,0.0,0.0,0.3333333333333333,0.1,0.375,0.14285714285714285,0.125,0.0,0.16666666666666666,0.3333333333333333,0.05882352941176472,0.5,0.0,0.8888888888888888,0.0,0
Phil Davis,2016,4,6,11,15,0,0,0,3,3,0,0,2,2,1,11,5,3,0,9,0,0.125,0.6000000000000001,0.5625,0.39285714285714285,0.0,0.0,0.0,0.5,0.30000000000000004,0.0,0.0,0.25,0.4,0.16666666666666666,0.7333333333333333,0.11764705882352944,0.75,0.0,1.0,0.0,1
Toby Greene,2016,9,3,3,12,1,1,0,3,0,0,0,6,1,2,3,9,0,1,1,0,0.3333333333333333,0.30000000000000004,0.0625,0.2857142857142857,0.3333333333333333,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.75,0.2,0.3333333333333333,0.2,0.35294117647058826,0.0,0.2,0.1111111111111111,0.0,0
Ryan Griffen,2016,4,2,11,15,0,1,0,5,1,3,3,1,1,0,9,8,0,0,3,0,0.125,0.2,0.5625,0.39285714285714285,0.0,0.3333333333333333,0.0,0.8333333333333333,0.1,0.375,0.42857142857142855,0.125,0.2,0.0,0.6,0.29411764705882354,0.0,0.0,0.3333333333333333,0.0,0
Steve Johnson,2016,11,4,12,23,2,2,0,3,1,2,3,3,1,1,8,15,0,1,2,0,0.41666666666666663,0.4,0.625,0.6785714285714286,0.6666666666666666,0.6666666666666666,0.0,0.5,0.1,0.25,0.42857142857142855,0.375,0.2,0.16666666666666666,0.5333333333333333,0.7058823529411764,0.0,0.2,0.2222222222222222,0.0,0
Josh Kelly,2016,10,3,8,18,0,0,0,4,4,5,3,1,0,0,5,14,0,0,0,2,0.37499999999999994,0.30000000000000004,0.375,0.49999999999999994,0.0,0.0,0.0,0.6666666666666666,0.4,0.625,0.42857142857142855,0.125,0.0,0.0,0.3333333333333333,0.6470588235294117,0.0,0.0,0.0,0.5,0
